reading_id,location_id,sample_datetime,shift,operator_id,particle_size_bin,raw_count,unit,alert_limit,action_limit,is_alert_breach,is_action_breach,mechanism_label
1,1,2026-01-01 00:00:00,Day,4,0.5um,2.0,counts/m3,15,20,0,0,none
2,1,2026-01-01 06:00:00,Evening,1,0.5um,1.0,counts/m3,15,20,0,0,none
3,1,2026-01-01 12:00:00,Night,2,0.5um,3.0,counts/m3,15,20,0,0,none
4,1,2026-01-01 18:00:00,Night,8,0.5um,1.0,counts/m3,15,20,0,0,none
5,1,2026-01-02 00:00:00,Day,7,0.5um,3.0,counts/m3,15,20,0,0,none
6,1,2026-01-02 06:00:00,Evening,3,0.5um,0.0,counts/m3,15,20,0,0,none
7,1,2026-01-02 12:00:00,Night,7,0.5um,1.03,counts/m3,15,20,0,0,none
8,1,2026-01-02 18:00:00,Night,1,0.5um,3.07,counts/m3,15,20,0,0,none
9,1,2026-01-03 00:00:00,Day,1,0.5um,3.1,counts/m3,15,20,0,0,none
10,1,2026-01-03 06:00:00,Evening,8,0.5um,1.13,counts/m3,15,20,0,0,none
11,1,2026-01-03 12:00:00,Night,6,0.5um,0.16,counts/m3,15,20,0,0,none
12,1,2026-01-03 18:00:00,Night,5,0.5um,3.2,counts/m3,15,20,0,0,none
13,1,2026-01-04 00:00:00,Day,3,0.5um,1.23,counts/m3,15,20,0,0,none
14,1,2026-01-04 06:00:00,Evening,7,0.5um,0.26,counts/m3,15,20,0,0,none
15,1,2026-01-04 12:00:00,Night,5,0.5um,0.29,counts/m3,15,20,0,0,none
16,1,2026-01-04 18:00:00,Night,4,0.5um,1.33,counts/m3,15,20,0,0,none
17,1,2026-01-05 00:00:00,Day,4,0.5um,1.36,counts/m3,15,20,0,0,none
18,1,2026-01-05 06:00:00,Evening,3,0.5um,2.39,counts/m3,15,20,0,0,none
19,1,2026-01-05 12:00:00,Night,5,0.5um,2.43,counts/m3,15,20,0,0,none
20,1,2026-01-05 18:00:00,Night,6,0.5um,0.46,counts/m3,15,20,0,0,none
21,1,2026-01-06 00:00:00,Day,7,0.5um,1.49,counts/m3,15,20,0,0,none
22,1,2026-01-06 06:00:00,Evening,4,0.5um,0.52,counts/m3,15,20,0,0,none
23,1,2026-01-06 12:00:00,Night,3,0.5um,0.56,counts/m3,15,20,0,0,none
24,1,2026-01-06 18:00:00,Night,5,0.5um,3.59,counts/m3,15,20,0,0,none
25,1,2026-01-07 00:00:00,Day,5,0.5um,1.62,counts/m3,15,20,0,0,none
26,1,2026-01-07 06:00:00,Evening,3,0.5um,0.65,counts/m3,15,20,0,0,none
27,1,2026-01-07 12:00:00,Night,1,0.5um,0.69,counts/m3,15,20,0,0,none
28,1,2026-01-07 18:00:00,Night,3,0.5um,2.72,counts/m3,15,20,0,0,none
29,1,2026-01-08 00:00:00,Day,1,0.5um,2.75,counts/m3,15,20,0,0,none
30,1,2026-01-08 06:00:00,Evening,1,0.5um,1.8,counts/m3,15,20,0,0,none
31,1,2026-01-08 12:00:00,Night,8,0.5um,0.83,counts/m3,15,20,0,0,none
32,1,2026-01-08 18:00:00,Night,7,0.5um,1.86,counts/m3,15,20,0,0,none
33,1,2026-01-09 00:00:00,Day,1,0.5um,2.9,counts/m3,15,20,0,0,none
34,1,2026-01-09 06:00:00,Evening,3,0.5um,0.93,counts/m3,15,20,0,0,none
35,1,2026-01-09 12:00:00,Night,3,0.5um,2.05,counts/m3,15,20,0,0,none
36,1,2026-01-09 18:00:00,Night,8,0.5um,2.0,counts/m3,15,20,0,0,none
37,1,2026-01-10 00:00:00,Day,4,0.5um,3.96,counts/m3,15,20,0,0,none
38,1,2026-01-10 06:00:00,Evening,3,0.5um,2.93,counts/m3,15,20,0,0,none
39,1,2026-01-10 12:00:00,Night,6,0.5um,2.91,counts/m3,15,20,0,0,none
40,1,2026-01-10 18:00:00,Night,4,0.5um,1.89,counts/m3,15,20,0,0,none
41,1,2026-01-11 00:00:00,Day,2,0.5um,1.97,counts/m3,15,20,0,0,none
42,1,2026-01-11 06:00:00,Evening,3,0.5um,4.04,counts/m3,15,20,0,0,none
43,1,2026-01-11 12:00:00,Night,2,0.5um,3.03,counts/m3,15,20,0,0,none
44,1,2026-01-11 18:00:00,Night,6,0.5um,3.99,counts/m3,15,20,0,0,none
45,1,2026-01-12 00:00:00,Day,8,0.5um,2.99,counts/m3,15,20,0,0,none
46,1,2026-01-12 06:00:00,Evening,7,0.5um,3.0,counts/m3,15,20,0,0,none
47,1,2026-01-12 12:00:00,Night,4,0.5um,1.97,counts/m3,15,20,0,0,none
48,1,2026-01-12 18:00:00,Night,4,0.5um,4.99,counts/m3,15,20,0,0,none
49,1,2026-01-13 00:00:00,Day,1,0.5um,5.08,counts/m3,15,20,0,0,none
50,1,2026-01-13 06:00:00,Evening,3,0.5um,2.18,counts/m3,15,20,0,0,none
51,1,2026-01-13 12:00:00,Night,1,0.5um,2.27,counts/m3,15,20,0,0,none
52,1,2026-01-13 18:00:00,Night,6,0.5um,4.32,counts/m3,15,20,0,0,none
53,1,2026-01-14 00:00:00,Day,8,0.5um,3.41,counts/m3,15,20,0,0,none
54,1,2026-01-14 06:00:00,Evening,2,0.5um,2.5,counts/m3,15,20,0,0,none
55,1,2026-01-14 12:00:00,Night,6,0.5um,5.55,counts/m3,15,20,0,0,none
56,1,2026-01-14 18:00:00,Night,5,0.5um,4.65,counts/m3,15,20,0,0,none
57,1,2026-01-15 00:00:00,Day,4,0.5um,2.82,counts/m3,15,20,0,0,none
58,1,2026-01-15 06:00:00,Evening,6,0.5um,4.0,counts/m3,15,20,0,0,none
59,1,2026-01-15 12:00:00,Night,6,0.5um,4.1,counts/m3,15,20,0,0,none
60,1,2026-01-15 18:00:00,Night,3,0.5um,3.16,counts/m3,15,20,0,0,none
61,1,2026-01-16 00:00:00,Day,7,0.5um,3.26,counts/m3,15,20,0,0,none
62,1,2026-01-16 06:00:00,Evening,6,0.5um,4.36,counts/m3,15,20,0,0,none
63,1,2026-01-16 12:00:00,Night,3,0.5um,5.46,counts/m3,15,20,0,0,none
64,1,2026-01-16 18:00:00,Night,6,0.5um,4.6,counts/m3,15,20,0,0,none
65,1,2026-01-17 00:00:00,Day,6,0.5um,6.71,counts/m3,15,20,0,0,none
66,1,2026-01-17 06:00:00,Evening,1,0.5um,2.98,counts/m3,15,20,0,0,none
67,1,2026-01-17 12:00:00,Night,2,0.5um,4.04,counts/m3,15,20,0,0,none
68,1,2026-01-17 18:00:00,Night,3,0.5um,2.07,counts/m3,15,20,0,0,none
69,1,2026-01-18 00:00:00,Day,1,0.5um,3.13,counts/m3,15,20,0,0,none
70,1,2026-01-18 06:00:00,Evening,4,0.5um,3.2,counts/m3,15,20,0,0,none
71,1,2026-01-18 12:00:00,Night,4,0.5um,4.27,counts/m3,15,20,0,0,none
72,1,2026-01-18 18:00:00,Night,7,0.5um,3.37,counts/m3,15,20,0,0,none
73,1,2026-01-19 00:00:00,Day,2,0.5um,3.53,counts/m3,15,20,0,0,none
74,1,2026-01-19 06:00:00,Evening,5,0.5um,5.66,counts/m3,15,20,0,0,none
75,1,2026-01-19 12:00:00,Night,6,0.5um,3.73,counts/m3,15,20,0,0,none
76,1,2026-01-19 18:00:00,Night,4,0.5um,2.77,counts/m3,15,20,0,0,none
77,1,2026-01-20 00:00:00,Day,8,0.5um,3.82,counts/m3,15,20,0,0,none
78,1,2026-01-20 06:00:00,Evening,3,0.5um,4.9,counts/m3,15,20,0,0,none
79,1,2026-01-20 12:00:00,Night,4,0.5um,5.38,counts/m3,15,20,0,0,none
80,1,2026-01-20 18:00:00,Night,1,0.5um,5.36,counts/m3,15,20,0,0,none
81,1,2026-01-21 00:00:00,Day,4,0.5um,5.39,counts/m3,15,20,0,0,none
82,1,2026-01-21 06:00:00,Evening,1,0.5um,4.42,counts/m3,15,20,0,0,none
83,1,2026-01-21 12:00:00,Night,8,0.5um,7.39,counts/m3,15,20,0,0,none
84,1,2026-01-21 18:00:00,Night,2,0.5um,7.33,counts/m3,15,20,0,0,none
85,1,2026-01-22 00:00:00,Day,7,0.5um,6.31,counts/m3,15,20,0,0,none
86,1,2026-01-22 06:00:00,Evening,1,0.5um,4.55,counts/m3,15,20,0,0,none
87,1,2026-01-22 12:00:00,Night,3,0.5um,5.54,counts/m3,15,20,0,0,none
88,1,2026-01-22 18:00:00,Night,1,0.5um,5.56,counts/m3,15,20,0,0,none
89,1,2026-01-23 00:00:00,Day,3,0.5um,4.64,counts/m3,15,20,0,0,none
90,1,2026-01-23 06:00:00,Evening,5,0.5um,5.71,counts/m3,15,20,0,0,none
91,1,2026-01-23 12:00:00,Night,4,0.5um,24.72,counts/m3,15,20,1,1,glove_breach
92,1,2026-01-23 18:00:00,Night,5,0.5um,24.8,counts/m3,15,20,1,1,glove_breach
93,1,2026-01-24 00:00:00,Day,7,0.5um,22.09,counts/m3,15,20,1,1,glove_breach
94,1,2026-01-24 06:00:00,Evening,1,0.5um,21.8,counts/m3,15,20,1,1,glove_breach
95,1,2026-01-24 12:00:00,Night,4,0.5um,17.02,counts/m3,15,20,1,0,glove_breach
96,1,2026-01-24 18:00:00,Night,5,0.5um,15.77,counts/m3,15,20,1,0,glove_breach
97,1,2026-01-25 00:00:00,Day,5,0.5um,14.7,counts/m3,15,20,0,0,glove_breach
98,1,2026-01-25 06:00:00,Evening,2,0.5um,14.72,counts/m3,15,20,0,0,glove_breach
99,1,2026-01-25 12:00:00,Night,2,0.5um,14.78,counts/m3,15,20,0,0,glove_breach
100,1,2026-01-25 18:00:00,Night,4,0.5um,11.91,counts/m3,15,20,0,0,glove_breach
101,1,2026-01-26 00:00:00,Day,6,0.5um,14.04,counts/m3,15,20,0,0,glove_breach
102,1,2026-01-26 06:00:00,Evening,8,0.5um,10.37,counts/m3,15,20,0,0,glove_breach
103,1,2026-01-26 12:00:00,Night,3,0.5um,11.81,counts/m3,15,20,0,0,glove_breach
104,1,2026-01-26 18:00:00,Night,5,0.5um,12.31,counts/m3,15,20,0,0,glove_breach
105,1,2026-01-27 00:00:00,Day,3,0.5um,9.83,counts/m3,15,20,0,0,glove_breach
106,1,2026-01-27 06:00:00,Evening,1,0.5um,10.39,counts/m3,15,20,0,0,glove_breach
107,1,2026-01-27 12:00:00,Night,4,0.5um,8.0,counts/m3,15,20,0,0,glove_breach
108,1,2026-01-27 18:00:00,Night,3,0.5um,9.66,counts/m3,15,20,0,0,glove_breach
109,1,2026-01-28 00:00:00,Day,2,0.5um,10.35,counts/m3,15,20,0,0,glove_breach
110,1,2026-01-28 06:00:00,Evening,6,0.5um,3.27,counts/m3,15,20,0,0,glove_breach
111,1,2026-01-28 12:00:00,Night,3,0.5um,3.01,counts/m3,15,20,0,0,glove_breach
112,1,2026-01-28 18:00:00,Night,2,0.5um,4.77,counts/m3,15,20,0,0,glove_breach
113,1,2026-01-29 00:00:00,Day,4,0.5um,4.53,counts/m3,15,20,0,0,glove_breach
114,1,2026-01-29 06:00:00,Evening,8,0.5um,3.29,counts/m3,15,20,0,0,glove_breach
115,1,2026-01-29 12:00:00,Night,6,0.5um,3.09,counts/m3,15,20,0,0,glove_breach
116,1,2026-01-29 18:00:00,Night,4,0.5um,3.91,counts/m3,15,20,0,0,glove_breach
117,1,2026-01-30 00:00:00,Day,7,0.5um,1.76,counts/m3,15,20,0,0,glove_breach
118,1,2026-01-30 06:00:00,Evening,1,0.5um,1.61,counts/m3,15,20,0,0,glove_breach
119,1,2026-01-30 12:00:00,Night,3,0.5um,3.5,counts/m3,15,20,0,0,glove_breach
120,1,2026-01-30 18:00:00,Night,5,0.5um,1.42,counts/m3,15,20,0,0,glove_breach
121,1,2026-01-31 00:00:00,Day,4,0.5um,2.3,counts/m3,15,20,0,0,glove_breach
122,1,2026-01-31 06:00:00,Evening,6,0.5um,2.18,counts/m3,15,20,0,0,glove_breach
123,1,2026-01-31 12:00:00,Night,6,0.5um,1.05,counts/m3,15,20,0,0,glove_breach
124,1,2026-01-31 18:00:00,Night,4,0.5um,1.98,counts/m3,15,20,0,0,glove_breach
125,1,2026-02-01 00:00:00,Day,8,0.5um,0.91,counts/m3,15,20,0,0,glove_breach
126,1,2026-02-01 06:00:00,Evening,8,0.5um,1.04,counts/m3,15,20,0,0,glove_breach
127,1,2026-02-01 12:00:00,Night,4,0.5um,0.97,counts/m3,15,20,0,0,glove_breach
128,1,2026-02-01 18:00:00,Night,8,0.5um,0.71,counts/m3,15,20,0,0,glove_breach
129,1,2026-02-02 00:00:00,Day,6,0.5um,0.65,counts/m3,15,20,0,0,glove_breach
130,1,2026-02-02 06:00:00,Evening,2,0.5um,17.49,counts/m3,15,20,1,0,glove_breach
131,1,2026-02-02 12:00:00,Night,1,0.5um,15.83,counts/m3,15,20,1,0,glove_breach
